,Gender,Age,Annual Income,Spending Score,Labels,labels
0,Male,19,1320000,39,1,low incomw with high spending
1,Male,21,1320000,81,1,low incomw with high spending
2,Female,20,1408000,6,0,Average incomwe with low spending
3,Female,23,1408000,77,1,low incomw with high spending
4,Female,31,1496000,40,0,Average incomwe with low spending
5,Female,22,1496000,76,1,low incomw with high spending
6,Female,35,1584000,6,0,Average incomwe with low spending
7,Female,23,1584000,94,1,low incomw with high spending
8,Male,64,1672000,3,0,Average incomwe with low spending
9,Female,30,1672000,72,1,low incomw with high spending
10,Male,67,1672000,14,0,Average incomwe with low spending
11,Female,35,1672000,99,1,low incomw with high spending
12,Female,58,1760000,15,0,Average incomwe with low spending
13,Female,24,1760000,77,1,low incomw with high spending
14,Male,37,1760000,13,1,low incomw with high spending
15,Male,22,1760000,79,1,low incomw with high spending
16,Female,35,1848000,35,0,Average incomwe with low spending
17,Male,20,1848000,66,1,low incomw with high spending
18,Male,52,2024000,29,0,Average incomwe with low spending
19,Female,35,2024000,98,1,low incomw with high spending
20,Male,35,2112000,35,1,low incomw with high spending
21,Male,25,2112000,73,1,low incomw with high spending
22,Female,46,2200000,5,0,Average incomwe with low spending
23,Male,31,2200000,73,1,low incomw with high spending
24,Female,54,2464000,14,0,Average incomwe with low spending
25,Male,29,2464000,82,1,low incomw with high spending
26,Female,45,2464000,32,0,Average incomwe with low spending
27,Male,35,2464000,61,1,low incomw with high spending
28,Female,40,2552000,31,0,Average incomwe with low spending
29,Female,23,2552000,87,1,low incomw with high spending
30,Male,60,2640000,4,0,Average incomwe with low spending
31,Female,21,2640000,73,1,low incomw with high spending
32,Male,53,2904000,4,0,Average incomwe with low spending
33,Male,18,2904000,92,1,low incomw with high spending
34,Female,49,2904000,14,0,Average incomwe with low spending
35,Female,21,2904000,81,1,low incomw with high spending
36,Female,42,2992000,17,0,Average incomwe with low spending
37,Female,30,2992000,73,1,low incomw with high spending
38,Female,36,3256000,26,0,Average incomwe with low spending
39,Female,20,3256000,75,1,low incomw with high spending
40,Female,65,3344000,35,0,Average incomwe with low spending
41,Male,24,3344000,92,1,low incomw with high spending
42,Male,48,3432000,36,0,Average incomwe with low spending
43,Female,31,3432000,61,1,low incomw with high spending
44,Female,49,3432000,28,0,Average incomwe with low spending
45,Female,24,3432000,65,1,low incomw with high spending
46,Female,50,3520000,55,0,Average incomwe with low spending
47,Female,27,3520000,47,1,low incomw with high spending
48,Female,29,3520000,42,1,low incomw with high spending
49,Female,31,3520000,42,1,low incomw with high spending
50,Female,49,3696000,52,0,Average incomwe with low spending
51,Male,33,3696000,60,1,low incomw with high spending
52,Female,31,3784000,54,1,low incomw with high spending
53,Male,59,3784000,60,0,Average incomwe with low spending
54,Female,50,3784000,45,0,Average incomwe with low spending
55,Male,47,3784000,41,0,Average incomwe with low spending
56,Female,51,3872000,50,0,Average incomwe with low spending
57,Male,69,3872000,46,0,Average incomwe with low spending
58,Female,27,4048000,51,1,low incomw with high spending
59,Male,53,4048000,46,0,Average incomwe with low spending
60,Male,70,4048000,56,0,Average incomwe with low spending
61,Male,19,4048000,55,1,low incomw with high spending
62,Female,67,4136000,52,0,Average incomwe with low spending
63,Female,54,4136000,59,0,Average incomwe with low spending
64,Male,63,4224000,51,0,Average incomwe with low spending
65,Male,18,4224000,59,1,low incomw with high spending
66,Female,43,4224000,50,0,Average incomwe with low spending
67,Female,68,4224000,48,0,Average incomwe with low spending
68,Male,19,4224000,59,1,low incomw with high spending
69,Female,32,4224000,47,1,low incomw with high spending
70,Male,70,4312000,55,0,Average incomwe with low spending
71,Female,47,4312000,42,0,Average incomwe with low spending
72,Female,60,4400000,49,0,Average incomwe with low spending
73,Female,60,4400000,56,0,Average incomwe with low spending
74,Male,59,4752000,47,0,Average incomwe with low spending
75,Male,26,4752000,54,1,low incomw with high spending
76,Female,45,4752000,53,0,Average incomwe with low spending
77,Male,40,4752000,48,0,Average incomwe with low spending
78,Female,23,4752000,52,1,low incomw with high spending
79,Female,49,4752000,42,0,Average incomwe with low spending
80,Male,57,4752000,51,0,Average incomwe with low spending
81,Male,38,4752000,55,0,Average incomwe with low spending
82,Male,67,4752000,41,0,Average incomwe with low spending
83,Female,46,4752000,44,0,Average incomwe with low spending
84,Female,21,4752000,57,1,low incomw with high spending
85,Male,48,4752000,46,0,Average incomwe with low spending
86,Female,55,5016000,58,0,Average incomwe with low spending
87,Female,22,5016000,55,1,low incomw with high spending
88,Female,34,5104000,60,1,low incomw with high spending
89,Female,50,5104000,46,0,Average incomwe with low spending
90,Female,68,5192000,55,0,Average incomwe with low spending
91,Male,18,5192000,41,1,low incomw with high spending
92,Male,48,5280000,49,0,Average incomwe with low spending
93,Female,40,5280000,40,1,low incomw with high spending
94,Female,32,5280000,42,1,low incomw with high spending
95,Male,24,5280000,52,1,low incomw with high spending
96,Female,47,5280000,47,0,Average incomwe with low spending
97,Female,27,5280000,50,1,low incomw with high spending
98,Male,48,5368000,42,0,Average incomwe with low spending
99,Male,20,5368000,49,1,low incomw with high spending
100,Female,23,5456000,41,1,low incomw with high spending
101,Female,49,5456000,48,0,Average incomwe with low spending
102,Male,67,5456000,59,0,Average incomwe with low spending
103,Male,26,5456000,55,1,low incomw with high spending
104,Male,49,5456000,56,0,Average incomwe with low spending
105,Female,21,5456000,42,1,low incomw with high spending
106,Female,66,5544000,50,0,Average incomwe with low spending
107,Male,54,5544000,46,0,Average incomwe with low spending
108,Male,68,5544000,43,0,Average incomwe with low spending
109,Male,66,5544000,48,0,Average incomwe with low spending
110,Male,65,5544000,52,0,Average incomwe with low spending
111,Female,19,5544000,54,1,low incomw with high spending
112,Female,38,5632000,42,1,low incomw with high spending
113,Male,19,5632000,46,1,low incomw with high spending
114,Female,18,5720000,48,1,low incomw with high spending
115,Female,19,5720000,50,1,low incomw with high spending
116,Female,63,5720000,43,0,Average incomwe with low spending
117,Female,49,5720000,59,0,Average incomwe with low spending
118,Female,51,5896000,43,0,Average incomwe with low spending
119,Female,50,5896000,57,0,Average incomwe with low spending
120,Male,27,5896000,56,1,low incomw with high spending
121,Female,38,5896000,40,1,low incomw with high spending
122,Female,40,6072000,58,1,low incomw with high spending
123,Male,39,6072000,91,3,High income with High spending
124,Female,23,6160000,29,1,low incomw with high spending
125,Female,31,6160000,77,3,High income with High spending
126,Male,43,6248000,35,0,Average incomwe with low spending
127,Male,40,6248000,95,3,High income with High spending
128,Male,59,6248000,11,2,High income with low spending
129,Male,38,6248000,75,3,High income with High spending
130,Male,47,6248000,9,2,High income with low spending
131,Male,39,6248000,75,3,High income with High spending
132,Female,25,6336000,34,1,low incomw with high spending
133,Female,31,6336000,71,3,High income with High spending
134,Male,20,6424000,5,2,High income with low spending
135,Female,29,6424000,88,3,High income with High spending
136,Female,44,6424000,7,2,High income with low spending
137,Male,32,6424000,73,3,High income with High spending
138,Male,19,6512000,10,2,High income with low spending
139,Female,35,6512000,72,3,High income with High spending
140,Female,57,6600000,5,2,High income with low spending
141,Male,32,6600000,93,3,High income with High spending
142,Female,28,6688000,40,1,low incomw with high spending
143,Female,32,6688000,87,3,High income with High spending
144,Male,25,6776000,12,2,High income with low spending
145,Male,28,6776000,97,3,High income with High spending
146,Male,48,6776000,36,0,Average incomwe with low spending
147,Female,32,6776000,74,3,High income with High spending
148,Female,34,6864000,22,2,High income with low spending
149,Male,34,6864000,90,3,High income with High spending
